"resource_state";"athlete";"name";"distance";"moving_time";"elapsed_time";"total_elevation_gain";"type";"id";"external_id";"upload_id";"start_date";"start_date_local";"timezone";"utc_offset";"start_latlng";"end_latlng";"location_city";"location_state";"location_country";"start_latitude";"start_longitude";"achievement_count";"kudos_count";"comment_count";"athlete_count";"photo_count";"map";"trainer";"commute";"manual";"private";"visibility";"flagged";"gear_id";"from_accepted_tag";"upload_id_str";"average_speed";"max_speed";"average_cadence";"average_watts";"weighted_average_watts";"kilojoules";"device_watts";"has_heartrate";"average_heartrate";"max_heartrate";"heartrate_opt_out";"display_hide_heartrate_option";"max_watts";"elev_high";"elev_low";"pr_count";"total_photo_count";"has_kudoed";"suffer_score"
"2";"@{id=28538196; resource_state=1}";"Volcano Flat";"13057,2";"1376";"1376";"50,0";"VirtualRide";"4612886104";"zwift-activity-726630823994210064.fit";"4927205007";"2021-01-13T09:22:38Z";"2021-01-13T10:22:38Z";"(GMT+01:00) Europe/Amsterdam";"3600,0";"System.Object[]";"System.Object[]";;;"";"-11,638793";"166,948752";"0";"17";"0";"11";"0";"@{id=a4612886104; summary_polyline=ne`fAud~y^YEcCm@}Ag@m@YmAq@eBkA{@cAg@}@_@aA[cASwACy@Hw@La@T_@d@e@x@o@~DmCd@g@FODO?QCQQ]c@a@_BcAIMI]BOHKLG|AUHK?QIaA]}Ca@yCE_AAaAPwALg@Ne@h@eAd@m@Z[l@a@pAm@dA]tA]xB_@hI}@`C_@lA]p@a@d@m@d@cAt@wBRa@T_@Z[pA{@|A_@h@Ez@?z@Nt@Vp@b@ZXb@j@hBjC~@fA\T`@Nb@Jb@Dv@At@IfDa@fAUxHoBvK{ChDeAt@Ot@C`@HLJJNF`@@v@ElLIdBK|@Kn@yA~FKXc@x@Od@CZ@jGC~@C^GZMVKJe@LeAH{FHk@EMGQU]u@qCuJQ[_@e@g@_@_@KOA_@D_@Ne@`@QZM\G^?`@D`@Nn@tFrLf@v@FLENKJ[N]H_BVkEh@_AN]J[PUXK\?NBNHLLHLD^@~AOzEs@nAM^?L@JH@LIJMHy@PgLdAKJAN?PFNLHdAHb@A|AUh@Eh@AnAFvAP^JLHHNL`@FfBJh@Xb@tAbBNf@BT?TEPKPQJuAVUJKRATDTb@pARb@JPNJPDR@d@EPDJNDPCPINOHS?c@Ec@?a@HMLANHNn@PJJDNAPKLODa@?a@Kk@]c@Gc@@_ATi@TYPu@jAURsBpA_@^Wf@[z@S~@i@tDKbAGdACdABdAb@hGDjBAdAGbA]bCq@hBiBxCsB|DUZeAn@UXM^WdBQp@QZe@b@y@f@{@`@_AVa@Ds@CsAOs@EO@o@ROEGMFOb@Sd@MpAIZIFS?SQY[QU?a@JaE~AY?YIa@S][kB}AGIGW?i@Di@D]FMJGhAIJMDSEoANkACe@]wCSa@[Wa@OQ?QFm@^ODe@AQBMJIL[dAKLOHc@Hc@AOIU[s@iCq@mACQ@c@Rq@l@kAVYf@a@V[H_@Be@FOHMp@q@FOBOGc@So@a@}@aAmCgBuFe@cBMu@Ac@Ha@HMXYZQ`@GPA^Fh@TVTt@|@LHN@NCJKDM?OI_@]g@_@}@oAwDm@iA[a@c@[}@c@}EsAqAi@aCsAOKkAgAo@aAo@uA_@{AOkACe@Be@Lw@^o@|@{@hAs@; resource_state=2}";"False";"False";"False";"False";"everyone";"False";"b5862767";"False";"4927205007";"9,489";"13,3";"83,6";"200,8";"203";"276,3";"True";"True";"131,1";"146,0";"False";"True";"348";"20,0";"-6,2";"0";"1";"False";"5,0"
"2";"@{id=28538196; resource_state=1}";"Flat route ";"10751,5";"1106";"1106";"61,0";"VirtualRide";"4612818575";"zwift-activity-726620844074099440.fit";"4927133532";"2021-01-13T09:03:31Z";"2021-01-13T10:03:31Z";"(GMT+01:00) Europe/Amsterdam";"3600,0";"System.Object[]";"System.Object[]";;;"";"-11,637203";"166,94944";"2";"15";"0";"39";"0";"@{id=a4612818575; summary_polyline=p{_fA_i~y^QEi@YqA}@u@s@i@u@o@yA]iASoAEaA@a@Fa@\}@~AqAtCkBj@a@d@g@Na@?QCQQ]g@c@yA_AKMEOCQBOJKn@Or@GJKBQAa@e@eEc@}CEwA@k@PuALg@Pe@x@wAx@y@dAm@dAc@t@UzA]zAWvIaAvB[l@Oj@Qd@WPOZa@^w@fAwC`@s@j@g@p@c@v@[z@Q|@E|@Ft@Pr@\`@VZZzChEh@l@`@Xb@Pf@Jf@Bd@Az@GhDc@xA[pHmBdA[`@Ob@IhMqDr@Ib@?NDNHJJHNBP@d@CdLGtBUjB{AjGOd@i@bAKb@A~HIhAIXGJSPKDoAJ}FJk@CME[_@Yq@oCoJYg@_@c@YS[M_@E]Ds@`@UTOXOj@C\@^F\Nj@rFlLl@~@?NUT[L[HiAPsFp@iAXYNUVK\?NBNFJJJLD^BzAMfFu@lAM\?NBJHALIJKF]H]FyBTkHl@KJCL@NBNHJLF~@D`@AdBWh@ErABj@Bj@Fl@LZNJJL^FbBFf@HRXb@x@~@X`@HRFh@ATGRMNSJwAXSLETBVb@rA?RERIPQHSAQEOK}BiC[W_@SSCS@OJWb@qAhEOTUFWKc@i@aAsB_@i@UMWCWJe@b@yHrEOJa@t@QDQGW[aC{Fc@u@[_@e@Yq@O_AC}@Fs@POHMNERATFn@Pn@JTNRRNpAl@JN?RGPYZu@l@a@R]VQA}@cAOGc@CMIGOIu@EOa@o@]]QGSAS@_@JMHUTUj@C^BNJLbA`@LN@TKv@@PHLLJxAf@HLBLINg@XKHCNNl@ILo@Tw@NQ@g@CQG]Wi@{@[s@_AuC[{@e@y@[a@e@]}@c@aGaBcAi@yAw@mAaAs@w@[g@i@qAa@sASsAA_ADg@DUPe@b@i@bAu@; resource_state=2}";"False";"False";"False";"False";"everyone";"False";"b5862767";"False";"4927133532";"9,721";"15,0";"82,9";"217,9";"244";"240,9";"True";"True";"133,5";"176,0";"False";"True";"723";"23,0";"-6,2";"0";"1";"False";"6,0"
"2";"@{id=28538196; resource_state=1}";"TDZ Stage 2: Standard Ride ";"26167,7";"2769";"2769";"505,0";"VirtualRide";"4608822575";"zwift-activity-726044135013465616.fit";"4922971287";"2021-01-12T14:02:25Z";"2021-01-12T15:02:25Z";"(GMT+01:00) Europe/Amsterdam";"3600,0";"System.Object[]";"System.Object[]";;;"";"47,271398";"11,396013";"22";"22";"0";"17";"0";"@{id=a4608822575; summary_polyline=euo_HaxpdAJx@t@r@dMdAj@QF_@EeAiAgM_@oC@iARSlBi@nBYpCnAj@?PMb@qB|@gMJ]tAu@vAyBbCsFrAmFPSRBdDp@d@SJy@?{@e@}IXu@hHmCpHkEzEmF\m@Ry@lBUdGmDhQsEzAaBDiAu@sH\aHEaCiAqI_AsDa@cC}AeM{BeYKiEDgFLgCRqAXcA`AoBViADgBQeF@eBVIX`@\lDdBnHj@h@\CXULg@@i@]sGPgCd@}Cv@sD`AqCZ_@jA[^s@Rw@?sE[wLW}BcB{JEkARwAx@aC|AmDf@c@`BAbEz@rBv@hBtAp@z@v@fBxC|MjAfEf@zAr@dApA~@hEvAlCbB`DrC`BjC|@x@rKdEhDrBvIdHLj@KzADh@h@BfCwAz@EbDzBtD^lRdGbAj@vBnBfAj@lK~B|AB~E}AxBOxCXtDzA`B~@zBrBdBtBrAtBhCjGdE`PrAlC|AlBhCjB|ClApMpBdDz@xEfDvAtB@`@W|@_@p@g@^_Gz@gETyDjAiCfBuHfH{BbBi@r@s@zAsCT}@`@}CfEeE`DiBzCoErIcBfBoAd@kDZ}BB}Cm@e@?a@Vu@vAaD|Hi@lCaAbIW`Ae@p@}Bt@kCFu@d@gArAu@h@{Cv@gBAyEmAc@RkDzFcD`EmAfA{CdBYByBaAsCDeAq@yDo@a@M[_@i@yA_@a@{CK_@e@Iy@@yDk@gB{@oAcB_BuC_BqDmCiGgDcAUgA?{Dp@a@ZaAbCqBdB}AFuAs@mAsAs@}BeBgMo@eG{AuHk@qGm@gCuAq@_@BwGvA_HpBkEzBeAv@u@pAGfA|@jP~@vKnBd]p@jFfBrH@bAO\aAt@yD|AaDp@sBGk@Pu@v@uBfDwAx@iJjB{FK}AJcKlDqLpCSd@@r@XrD\z@eCjEIl@BrBKb@}CrDqGdLYTOWJgD[}DY{Ba@kA[WyBm@w@e@_A_BuByEu@_Au@a@oBD_@UHaBj@eCp@g@vA}BDm@[uA_A{AeAeAsMyHwBwBcC}FyBqDaAqBsF{Qg@}BYiCDgAVKhCxAvAhA~Sha@tEhGxG`GzDlBvBBlU`BN_@AkAcAwLi@wDFy@nBu@tB_@l@LfB`A`@D^QRk@VeBz@sLXe@jAi@pAwB`CkFvAwF^MdDv@`@KHUHs@CoAc@yHLq@`@]bJmDpGeEAKmCjBuDrB; resource_state=2}";"False";"False";"False";"False";"everyone";"False";"b5862767";"False";"4922971287";"9,45";"24,0";"88,9";"293,6";"307";"813,1";"True";"True";"164,8";"187,0";"False";"True";"880";"695,8";"278,8";"16";"1";"False";"88,0"
